Restaurant Name,Restaurant Rating,Restaurant Address,Contact No.,Cuisine,Opening Hours,Google Reviews
"Tasneem's Kings Kitchen
",4.0,"Jhamsikhel Road, Patan 44600",980-1121212,Not Provided,"Saturday	11AM–10PM
Sunday	Closed
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
Friday	11AM–10PM
","262 Google reviews
"
"Temple View Palace Restaurant
",4.0,Bhaktapur 44800,01-6614815,Not Provided,"Saturday	9:30AM–8PM
Sunday	9:30AM–8PM
Monday	9:30AM–8PM
Tuesday	9:30AM–8PM
Wednesday	9:30AM–8PM
Thursday	9:30AM–8PM
Friday	9:30AM–8PM
","17 Google reviews
"
"Dae jang geum Korean Restaurant
",4.4,"Paryatan Marg, Kathmandu 44600",01-4700129,Not Provided,"Saturday	10AM–9PM
Sunday	10AM–9PM
Monday	10AM–9PM
Tuesday	10AM–9PM
Wednesday	10AM–9PM
Thursday	10AM–9PM
Friday	10AM–9PM
","31 Google reviews
"
"Vajra Guest House & Rooftop Restaurant
",4.4,"Nagarkot Rd 10, Bhaktapur 44800",01-6610782,Not Provided,"Saturday	6AM–10PM
Sunday	6AM–10PM
Monday	6AM–10PM
Tuesday	6AM–10PM
Wednesday	6AM–10PM
Thursday	6AM–10PM
Friday	6AM–10PM
","47 Google reviews
"
"Black Olives Cafe
",4.2,"Chaksibari Marg, Kathmandu 44600",01-4700956,Cafe,"Saturday	7AM–10:30PM
Sunday	7AM–10:30PM
Monday	7AM–10:30PM
Tuesday	7AM–10:30PM
Wednesday	7AM–10:30PM
Thursday	7AM–10:30PM
Friday	7AM–10:30PM
","224 Google reviews
"
"Bajeko Sekuwa
",3.7,Kathmandu 44600,01-4358668,Not Provided,"Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
Friday	9AM–10PM
","123 Google reviews
"
"Bota MoMo - Jhochhen
",3.8,Kathmandu 44600,01-4224033,Nepalese restaurant,"Saturday	10AM–8:30PM
Sunday	10AM–8:30PM
Monday	10AM–8:30PM
Tuesday	10AM–8:30PM
Wednesday	10AM–8:30PM
Thursday	10AM–8:30PM
Friday	10AM–8:30PM
","346 Google reviews
"
"KFC Restaurant
",3.8,"Durbar Marg, Kathmandu 44600",01-4226287,Not Provided,"Saturday	11AM–11PM
Sunday	11AM–11PM
Monday	11AM–11PM
Tuesday	11AM–11PM
Wednesday	11AM–11PM
Thursday	11AM–11PM
Friday	11AM–11PM
","467 Google reviews
"
"Roots Eatery
",4.0,"Nabahi Marg, Kathmandu 44600",01-4224111,Not Provided,"Saturday	1–9PM
Sunday	1–9PM
Monday	1–9PM
Tuesday	1–9PM
Wednesday	1–9PM
Thursday	1–9PM
Friday	1–9PM
","42 Google reviews
"
"OM DHURI GALLERY LIVE CAFE
",4.3,"Narsingh Chowk Marg, Kathmandu 44600",01-4254343,Not Provided,"Saturday	Open 24 hours
Sunday	Open 24 hours
Monday	Open 24 hours
Tuesday	Open 24 hours
Wednesday	Open 24 hours
Thursday	Open 24 hours
Friday	Open 24 hours
","11 Google reviews
"
"Villa Everest Korean Restaurant
",3.9,"Amrit Marg, Kathmandu 44600",01-4413471,Not Provided,"Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
Friday	9AM–10PM
","276 Google reviews
"
"VIP Restaurant Lounge Bar
",4.2,Kathmandu 44600,985-1159964,Not Provided,"Friday	6AM–2AM
Saturday	6AM–2AM
Sunday	6AM–2AM
Monday	6AM–2AM
Tuesday	6AM–2AM
Wednesday	6AM–2AM
Thursday	6AM–2AM
","63 Google reviews
"
"M.M. Newari Restaurant
",3.8,"Chittadhar Marg, Kathmandu 44600",01-4251327,Not Provided,"Saturday	7AM–9PM
Sunday	7AM–9PM
Monday	7AM–9PM
Tuesday	7AM–9PM
Wednesday	7AM–9PM
Thursday	7AM–9PM
Friday	7AM–9PM
","19 Google reviews
"
"Bota Mo:Mo - Anamnagar
",3.8,"टंक प्रसाद घुम्ती सडक, Kathmandu 44600",01-4252778,Not Provided,"Saturday	8AM–8:30PM
Sunday	8AM–8:30PM
Monday	8AM–8:30PM
Tuesday	8AM–8:30PM
Wednesday	8AM–8:30PM
Thursday	8AM–8:30PM
Friday	8AM–8:30PM
","245 Google reviews
"
"Nandan Sweets & Snacks Restaurant
",4.0,"Pyukha Marg, Kathmandu 44600",01-4241498,Restaurant,"Saturday	9AM–9PM
Sunday	9AM–9PM
Monday	9AM–9PM
Tuesday	9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
Friday	9AM–9PM
","119 Google reviews
"
"Mayur Restaurant
",4.4,"Dattatraya Square, Tachupal Tole, Bhaktapur 44800",01-6611829,Not Provided,"Saturday	10AM–7:30PM
Sunday	10AM–7:30PM
Monday	10AM–7:30PM
Tuesday	10AM–7:30PM
Wednesday	10AM–7:30PM
Thursday	10AM–7:30PM
Friday	10AM–7:30PM
","52 Google reviews
"
"PUMPERNICKEL BAKERY
",4.2,"Paryatan Marg, Kathmandu 44600",980-8980015,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","278 Google reviews
"
"Aainko Restaurant
",4.4,Kathmandu 44600,981-9049777,Not Provided,"Saturday	7AM–11PM
Sunday	7AM–11PM
Monday	7AM–11PM
Tuesday	7AM–11PM
Wednesday	7AM–11PM
Thursday	7AM–11PM
Friday	7AM–11PM
","16 Google reviews
"
"KKFC
",3.6,"Khechapukhu Sadak, Kathmandu 44600",980-1113727,Not Provided,"Saturday	10AM–8PM
Sunday	10AM–8PM
Monday	10AM–8PM
Tuesday	10AM–8PM
Wednesday	10AM–8PM
Thursday	10AM–8PM
Friday	10AM–8PM
","191 Google reviews
"
"Bajeko Sekuwa
",3.6,"गैरीधारा सडक, Kathmandu 44600",01-4410794,Barbecue restaurant,"Saturday	9AM–9:30PM
Sunday	9AM–9:30PM
Monday	9AM–9:30PM
Tuesday	9AM–9:30PM
Wednesday	9AM–9:30PM
Thursday	9AM–9:30PM
Friday	9AM–9:30PM
","143 Google reviews
"
"Sajangoth
",4.0,"Tripura Marg, Kathmandu 44600",01-4257736,Not Provided,"Saturday	8:15AM–8:30PM
Sunday	8:15AM–8:30PM
Monday	8:15AM–8:30PM
Tuesday	8:15AM–8:30PM
Wednesday	8:15AM–8:30PM
Thursday	8:15AM–8:30PM
Friday	8:15AM–8:30PM
","55 Google reviews
"
"Fashion Delicacy
",4.3,Kathmandu 44600,984-9447838,Not Provided,"Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
Friday	8AM–10PM
","11 Google reviews
"
"Cmd Foodland
",3.7,"Tangal Marg, Kathmandu 44600",01-4415997,Not Provided,"Saturday	10AM–11PM
Sunday	10AM–11PM
Monday	10AM–11PM
Tuesday	10AM–11PM
Wednesday	10AM–11PM
Thursday	10AM–11PM
Friday	10AM–11PM
","62 Google reviews
"
"3Brothers Fast Food & Restaurant
",4.5,Kathmandu 44600,984-1867330,Not Provided,"Saturday	7–9PM
Sunday	7–9PM
Monday	7–9PM
Tuesday	7–9PM
Wednesday	7–9PM
Thursday	7–9PM
Friday	7–9PM
","6 Google reviews
"
"Shandar Momo
",3.9,Kathmandu 44600,Not Provided,Not Provided,"Saturday	9AM–8PM
Sunday	9AM–8PM
Monday	9AM–8PM
Tuesday	9AM–8PM
Wednesday	9AM–8PM
Thursday	9AM–8PM
Friday	9AM–8PM
","241 Google reviews
"
"Shuimter Korean Restaurant
",3.9,"Chaksibari Marg, Kathmandu 44600",985-1053182,Not Provided,"Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
Friday	9AM–10PM
","9 Google reviews
"
"Dilli Bazar
",3.5,"Shanti Niketan Marg, Kathmandu 44600",01-4413021,Not Provided,"Saturday	Closed
Sunday	Closed
Monday	8:30AM–5:30PM
Tuesday	8:30AM–5:30PM
Wednesday	8:30AM–5:30PM
Thursday	8:30AM–5:30PM
Friday	8:30AM–5:30PM
","2 Google reviews
"
"Florid Garden Restaurant Z street thamel Kathmandu
",4.4,"Z Street, Kathmandu 44600",984-9023179,Not Provided,"Saturday	6:30AM–10PM
Sunday	6:30AM–10PM
Monday	6:30AM–10PM
Tuesday	6:30AM–10PM
Wednesday	6:30AM–10:30PM
Thursday	6:30AM–10PM
Friday	6:30AM–10PM
","7 Google reviews
"
"Newa Chhen Restaurant & Home Stay
",3.4,"दत्तात्रय square सडक, Bhaktapur 44800",01-6614224,Not Provided,"Saturday	8AM–8PM
Sunday	8AM–8PM
Monday	8AM–8PM
Tuesday	8AM–8PM
Wednesday	8AM–8PM
Thursday	8AM–8PM
Friday	8AM–8PM
","10 Google reviews
"
"Sunrise Restaurant
",4.7,"Paryatak Marg, Kathmandu 44600",01-4248999,Not Provided,"Saturday	6AM–11PM
Sunday	6AM–11PM
Monday	6AM–11PM
Tuesday	6AM–11PM
Wednesday	6AM–11PM
Thursday	6AM–11PM
Friday	6AM–11PM
","3 Google reviews
"
"Om Lumbini Restaurant
",5.0,"Amrit Marg, Kathmandu 44600",Not Provided,Not Provided,"Saturday	9AM–9:30PM
Sunday	9AM–9:30PM
Monday	9AM–9:30PM
Tuesday	9AM–9:30PM
Wednesday	9AM–9:30PM
Thursday	9AM–9:30PM
Friday	9AM–9:30PM
","5 Google reviews
"
"Thakkhola Thakali Cuisine
",4.0,"Naya Bato, Patan 44700",01-5544828,Family restaurant,"Saturday	10:30AM–9PM
Sunday	10:30AM–9PM
Monday	10:30AM–9PM
Tuesday	10:30AM–9PM
Wednesday	10:30AM–9PM
Thursday	10:30AM–9PM
Friday	10:30AM–9PM
","302 Google reviews
"
"Thasang Authentic Thakali Kitchen
",4.0,"Lagankhel Satdobato Rd, Patan 44600",01-5523614,Restaurant,"Saturday	11AM–9PM
Sunday	11AM–9PM
Monday	11AM–9PM
Tuesday	11AM–9PM
Wednesday	11AM–9PM
Thursday	11AM–9PM
Friday	11AM–9PM
","176 Google reviews
"
"Peaceful Restaurant
",4.0,"Dattatraya Square - 09, 44800",984-1231795,Not Provided,"Saturday	11AM–9PM
Sunday	11AM–9PM
Monday	11AM–9PM
Tuesday	11AM–9PM
Wednesday	11AM–9PM
Thursday	11AM–9PM
Friday	11AM–9PM
","31 Google reviews
"
"Dalle - Jawalakhel Outlet
",3.9,Patan 44600,01-5528087,Not Provided,"Saturday	11AM–9:30PM
Sunday	11AM–9:30PM
Monday	11AM–9:30PM
Tuesday	11AM–9:30PM
Wednesday	11AM–9:30PM
Thursday	11AM–9:30PM
Friday	11AM–9:30PM
","47 Google reviews
"
"Fusion Himalaya Resturent
",4.8,Kathmandu 44600,984-0444524,Restaurant,"Saturday	Closed
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","82 Google reviews
"
"Prazada
",3.9,"Thirbam Sadak, Kathmandu 44600",01-4410473,Not Provided,"Saturday	12:30–9PM
Sunday	12:30–9PM
Monday	12:30–9PM
Tuesday	12:30–9PM
Wednesday	12:30–9PM
Thursday	12:30–9PM
Friday	12:30–9PM
","87 Google reviews
"
"Sinche
",4.5,"Devkota Sadak, Mid Baneshwor, Kathmandu 44600",01-4462906,Not Provided,"Saturday	7AM–9PM
Sunday	7AM–9PM
Monday	7AM–9PM
Tuesday	7AM–9PM
Wednesday	7AM–9PM
Thursday	7AM–9PM
Friday	7AM–9PM
","6 Google reviews
"
"Mantang-Hong Restaurant
",3.7,"Amrit Marg, Kathmandu 44600",01-4224287,Not Provided,"Saturday	9AM–9:30PM
Sunday	9AM–9:30PM
Monday	9AM–9:30PM
Tuesday	9AM–9:30PM
Wednesday	9AM–9:30PM
Thursday	9AM–9:30PM
Friday	9AM–9:30PM
","30 Google reviews
"
"R.S Chinese Food
",3.9,Kathmandu 44604,984-1274667,Family restaurant,"Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","107 Google reviews
"
"Brezel Cafe & Bar
",4.6,Kathmandu 44600,01-4265601,Not Provided,"Saturday	7AM–11PM
Sunday	7AM–11PM
Monday	7AM–11PM
Tuesday	7AM–11PM
Wednesday	7AM–11PM
Thursday	7AM–11PM
Friday	7AM–11PM
","36 Google reviews
"
"Hotel Maharaja Palace and Maharaja Travel
",3.7,"Nfront of Pashupatinath Temple, Kathmandu 45216",01-4113676,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","34 Google reviews
"
"KFC Restaurant
",3.8,"Blue Bird Mall, Tripura Marga, Kathmandu 44600",01-2011111,Not Provided,"Saturday	11AM–11PM
Sunday	11AM–11PM
Monday	11AM–11PM
Tuesday	11AM–11PM
Wednesday	11AM–11PM
Thursday	11AM–11PM
Friday	11AM–11PM
","157 Google reviews
"
"The Headquarter Restaurant & Bar with Live Music
",3.8,"Narayanhiti Palace Museum North Gate Rd, Kathmandu 44600",01-4414197,Not Provided,"Saturday	9AM–12AM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
Friday	9AM–12AM
","12 Google reviews
"
"Ichiban Multi Cuisine and Multi Purpose Venue
",4.0,"Lazimpat Road, Opposite MBL Tower, Kathmandu 44600",01-4441672,Not Provided,"Saturday	10AM–10:30PM
Sunday	10AM–10:30PM
Monday	10AM–10:30PM
Tuesday	10AM–10:30PM
Wednesday	10AM–10:30PM
Thursday	10AM–10:30PM
Friday	10AM–10:30PM
","5 Google reviews
"
"Orchid Garden Restaurant
",3.8,"Sama Marg, Kathmandu 44600",01-4432354,Not Provided,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","27 Google reviews
"
"Delicious Thakali Restaurant And Bar
",5.0,Kathmandu 44600,984-3782007,Not Provided,"Saturday	10AM–11PM
Sunday	10AM–11PM
Monday	10AM–11PM
Tuesday	10AM–11PM
Wednesday	10AM–11PM
Thursday	10AM–11PM
Friday	10AM–11PM
","3 Google reviews
"
"Taza
",3.9,Patan 44700,01-5541592,Not Provided,"Saturday	Closed
Sunday	11AM–9PM
Monday	11AM–9PM
Tuesday	11AM–9PM
Wednesday	11AM–9PM
Thursday	11AM–9PM
Friday	11AM–9PM
","24 Google reviews
"
"Bites Fried Chicken n Burgers
",4.0,"Kumaripati, opposite of Korean Shop, Patan",980-3621909,Not Provided,"Saturday	Open 24 hours
Sunday	Open 24 hours
Monday	Open 24 hours
Tuesday	Open 24 hours
Wednesday	Open 24 hours
Thursday	Open 24 hours
Friday	Open 24 hours
","8 Google reviews
"
"Rainbow restro
",3.2,Kathmandu 44600,4672448,Restaurant,"Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","72 Google reviews
"
"The Golden Eyes Restaurant & Cafe
",4.0,"Boudha Rd, Kathmandu 44600",01-4485819,Not Provided,"Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","50 Google reviews
"
"WOK Oriental Cuisine
",3.2,"कुलरत्न मार्ग, Kathmandu 44605",01-4169063,Not Provided,"Saturday	Closed
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","32 Google reviews
"
"Nepalaya Kitchen
",4.3,Kathmandu 44600,982-3231130,Not Provided,"Saturday	6AM–11PM
Sunday	6AM–11PM
Monday	6AM–11PM
Tuesday	6AM–11PM
Wednesday	6AM–11PM
Thursday	6AM–11PM
Friday	6AM–11PM
","3 Google reviews
"
"Madina Restaurant
",3.2,"Nagha Kwado Galli, Kathmandu 44600",980-7241101,Not Provided,"Saturday	Closed
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","6 Google reviews
"
"Cafe bliss
",4.3,"Nairsing Chowk, Kathmandu 44600",01-4260495,Not Provided,"Saturday	12PM–12AM
Sunday	12PM–12AM
Monday	12PM–12AM
Tuesday	12PM–12AM
Wednesday	12PM–12AM
Thursday	12PM–12AM
Friday	12PM–12AM
","30 Google reviews
"
"Thamel Cheap Restaurant
",4.0,"Samjhana Street, Kathmandu 44600",Not Provided,Not Provided,"Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
Friday	8AM–10PM
","4 Google reviews
"
"Impasto Pizzeria
",4.0,Kathmandu 44600,986-9330896,Restaurant,"Saturday	10AM–9PM
Sunday	10AM–9PM
Monday	10AM–9PM
Tuesday	10AM–9PM
Wednesday	10AM–9PM
Thursday	10AM–9PM
Friday	10AM–9PM
","124 Google reviews
"
"Purple Haze Rock Bar
",4.3,"Paryatan Marg, Kathmandu 44600",980-3719781,Bar,"Saturday	5PM–12AM
Sunday	5PM–12AM
Monday	5PM–12AM
Tuesday	5PM–12AM
Wednesday	5PM–12AM
Thursday	5PM–12AM
Friday	5PM–12AM
","1,017 Google reviews
"
"The Temple Restaurant & Bar
",4.3,Kathmandu 44600,+66 94 430 6644,Not Provided,"Saturday	11AM–11PM
Sunday	11AM–11PM
Monday	11AM–11PM
Tuesday	11AM–11PM
Wednesday	11AM–11PM
Thursday	11AM–11PM
Friday	11AM–11PM
","23 Google reviews
"
"Nikesh Tandoori Restaurant
",4.4,"Tanka Prasad Ghumti Sadak, Kathmandu 44600",01-4102813,Not Provided,"Saturday	7AM–8PM
Sunday	7AM–8PM
Monday	7AM–8PM
Tuesday	7AM–8PM
Wednesday	7AM–8PM
Thursday	7AM–8PM
Friday	7AM–8PM
","7 Google reviews
"
"YANG XIA
",3.0,"Rising Mall, तीनधारा मार्ग, Kathmandu 44605",01-4169188,Not Provided,"Saturday	9:30AM–10PM
Sunday	9:30AM–10PM
Monday	9:30AM–10PM
Tuesday	9:30AM–10PM
Wednesday	9:30AM–10PM
Thursday	9:30AM–10PM
Friday	9:30AM–10PM
","3 Google reviews
"
"Yala Cafe And Coffee Shop
",4.9,"Kwabahal, Thamel Marg, Kathmandu 44600",01-4216134,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","36 Google reviews
"
